"Timestamp","CASA"
"2023/04/28 11:39:32 PM CST","SLYTHERIN"
"2023/04/28 11:39:36 PM CST","GRIFFINDOR"
"2023/04/28 11:39:40 PM CST","SLYTHERIN"
"2023/04/28 11:39:44 PM CST","RAVENCLAW"
"2023/04/28 11:39:51 PM CST","GRIFFINDOR"
"2023/04/28 11:39:54 PM CST","SLYTHERIN"
"2023/04/28 11:39:59 PM CST","SLYTHERIN"
"2023/04/28 11:40:03 PM CST","RAVENCLAW"
"2023/04/28 11:40:07 PM CST","GRIFFINDOR"
"2023/04/28 11:40:10 PM CST","GRIFFINDOR"
"2023/04/28 11:40:22 PM CST","GRIFFINDOR"
"2023/04/28 11:40:26 PM CST","GRIFFINDOR"
"2023/04/28 11:40:30 PM CST","SLYTHERIN"
"2023/04/28 11:40:38 PM CST","GRIFFINDOR"
